Philippines,90297115,93038902,96017322,99138690,
Palau,20227,20470,20756,21097,
Papua New Guinea,6540267,6847517,7154870,7463577,
Poland,38125759,38042794,38063164,38011735,
Puerto Rico,3760866,3721527,3642281,3548397,
"Korea, Dem. People‰Ûªs Rep.",24243829,24500506,24763353,25026772,
Portugal,10558177,10573100,10514844,10401062,
Paraguay,6047131,6209877,6379162,6552518,
Pacific island small states,2143352,2201396,2257903,2313337,
French Polynesia,262877,268065,273775,279781,
Qatar,1388962,1765513,2015624,2172065,
Romania,20537875,20246871,20058035,19904360,
Russian Federation,142742350,142849449,143201676,143819569,
Rwanda,9750314,10293669,10817350,11341544,
South Asia,1582576481,1629223562,1675019307,1721152580,
Saudi Arabia,26742842,28090647,29496047,30886545,
Sudan,34470138,36114885,37712420,39350274,
Senegal,12229703,12956791,13780108,14672557,
Singapore,4839396,5076732,5312437,5469724,
Solomon Islands,503410,526177,549162,572171,
Sierra Leone,5521838,5775902,6043157,6315627,
El Salvador,6004199,6038306,6072233,6107706,
San Marino,30160,30690,31172,31595,
Somalia,9132589,9581714,10033630,10517569,
Serbia,7350222,7291436,7199077,7129366,
Sub-Saharan Africa (developing only),826514497,872981672,921978391,973402912,
South Sudan,9208598,10056475,10980623,11911184,
Sub-Saharan Africa (all income levels),827287676,873800152,922840423,974315197,
Small states,27586287,28403026,29325988,30263242,
Sao Tome and Principe,163595,170880,178484,186342,
Suriname,506657,518141,528535,538248,
Slovak Republic,5379233,5391428,5407579,5418649,
Slovenia,2021316,2048583,2057159,2061980,
Sweden,9219637,9378126,9519374,9696110,
Swaziland,1153750,1193148,1231694,1269112,
Sint Maarten (Dutch part),40458,35474,34640,37685,
Seychelles,86956,89770,88303,91400,
Syrian Arab Republic,20097057,20720602,21427155,22157800,
Turks and Caicos Islands,29481,30993,32430,33740,
Chad,11139740,11896380,12715465,13587053,
Togo,6052937,6390851,6745581,7115163,
Thailand,66453255,66692024,67164130,67725979,
Tajikistan,7254072,7581696,7930929,8295840,
Turkmenistan,4917541,5041995,5172941,5307188,
Timor-Leste,1030630,1066409,1148958,1212107,
Tonga,102816,103947,104769,105586,
Trinidad and Tobago,1315372,1328095,1341579,1354483,
Tunisia,10328900,10547100,10777500,10996600,
Turkey,70344357,72310416,74099255,75932348,
Tuvalu,9788,9827,9860,9893,
Tanzania,42844744,45648525,48645709,51822621,
Uganda,31014427,33149417,35400620,37782971,
Ukraine,46258200,45870700,45593300,45362900,
Upper middle income,2251867519,2287713124,2323762195,2360817817,
Uruguay,3350832,3374414,3396753,3419516,
United States,304093966,309347057,314112078,318857056,
Uzbekistan,27302800,28562400,29774500,30757700,
St. Vincent and the Grenadines,109165,109316,109334,109360,
"Venezuela, RB",28116716,28995745,29854238,30693827,
Virgin Islands (U.S.),107091,106267,105275,104170,
Vietnam,85118700,86932500,88809200,90728900,
Vanuatu,225335,236299,247498,258883,
West Bank and Gaza,3596688,3811102,4046901,4294682,
World,6758490299,6923699370,7088725389,7259691769,
Samoa,183440,186029,188901,191845,
"Yemen, Rep.",22322699,23591972,24882792,26183676,
South Africa,49344228,50791808,52341695,54001953,
"Congo, Dem. Rep.",61809278,65938712,70291160,74877030,
Zambia,13114579,13917439,14786581,15721343,
Zimbabwe,13495462,13973897,14565482,15245855,
