Year,Country,Population,Refugee,Continent
2008,Comoros,665414,,Africa
2010,Comoros,698695,,Africa
2012,Comoros,733661,,Africa
2014,Comoros,769991,,Africa
2008,Congo,3832771,,Africa
2010,Congo,4066078,,Africa
2012,Congo,70291160,,Africa
2014,Congo,4504962,,Africa
2008,Costa Rica,4429506,,North America
2010,Costa Rica,4545273,,North America
2012,Costa Rica,4654148,0,North America
2014,Costa Rica,4757606,5,North America
2008,Cote d'Ivoire,19261647,,Africa
2010,Cote d'Ivoire,20131707,,Africa
2012,Cote d'Ivoire,21102641,,Africa
2014,Cote d'Ivoire,22157107,,Africa
2008,Croatia,4434508,,Europe
2010,Croatia,4417781,0,Europe
2012,Croatia,4267558,12,Europe
2014,Croatia,4238389,22,Europe
2008,Cuba,11290239,,North America
2010,Cuba,11308133,,North America
2012,Cuba,11342631,11,North America
2014,Cuba,11379111,20,North America
2014,Cura̤ao,152088,,North America
2008,Curacao,145880,,North America
2010,Curacao,148703,,North America
2012,Curacao,152088,,North America
2014,Curacao,155909,,North America
2008,Cyprus,1077010,70,Europe
2010,Cyprus,1103685,125,Europe
2012,Cyprus,1129303,139,Europe
2014,Cyprus,1153658,1451,Europe
2010,Czech Rep.,10474410,23,Europe
2012,Czech Rep.,10510785,54,Europe
2014,Czech Rep.,10525347,236,Europe
2008,Czech Rep.,10380000,16,Europe
2008,Dem Rep of the Congo,61809278,,Africa
2010,Dem Rep of the Congo,65938712,0,Africa
2012,Dem Rep of the Congo,,,Africa
2014,Dem Rep of the Congo,4286188,0,Africa
2008,Denmark,5493621,272,Europe
2010,Denmark,5547683,750,Europe
2012,Denmark,5591572,1903,Europe
2014,Denmark,5638530,7253,Europe
2008,Dijbouti,,,Africa
2010,Dijbouti,,,Africa
2012,Dijbouti,,,Africa
2014,Djibouti,876174,0,Africa
2008,Dominican Rep.,9636491,,North America
2010,Dominican Rep.,9897983,,North America
2012,Dominican Rep.,71685,7,North America
2014,Dominican Rep.,10405943,,North America
2008,Ecuador,14447600,10,South America
2010,Ecuador,14934692,9,South America
2012,Ecuador,15419493,11,South America
2014,Ecuador,15902916,13,South America
2008,Egypt,75490000,9,Africa
2010,Egypt,82040994,8,Africa
2012,Egypt,85660902,12836,Africa
2014,Egypt,89579670,138381,Africa
2008,El Salvador,6004199,,North America
2010,El Salvador,6038306,,North America
2012,El Salvador,6072233,,North America
2014,El Salvador,6107706,,North America
2008,Equatorial Guinea,686223,,Africa
2010,Equatorial Guinea,728710,,Africa
2012,Equatorial Guinea,773729,,Africa
2014,Equatorial Guinea,820885,,Africa
2008,Eritrea,4500638,,Africa
2010,Eritrea,4689664,,Africa
2012,Eritrea,4892233,,Africa
2014,Eritrea,5110444,,Africa
2008,Estonia,1337090,,Europe
2010,Estonia,1331475,,Europe
2012,Estonia,1322696,,Europe
2014,Estonia,1314545,6,Europe
2008,Ethiopia,83079608,,Africa
2010,Ethiopia,87561814,,Africa
2012,Ethiopia,92191211,,Africa
2014,Ethiopia,96958732,0,Africa
2008,Fiji,843206,,Oceania
2010,Fiji,859952,,Oceania
2012,Fiji,874158,,Oceania
2014,Fiji,886450,,Oceania
2008,Finland,5313399,50,Europe
2010,Finland,5363352,59,Europe
2012,Finland,5413971,218,Europe
2014,Finland,5461512,438,Europe
