Date,Value,Code
13/03/26,373138,JOR
13/03/27,376661,JOR
13/03/28,385545,JOR
13/04/01,394876,JOR
13/04/02,398961,JOR
13/04/03,401610,JOR
13/04/05,404739,JOR
13/04/07,408268,JOR
13/04/08,412105,JOR
13/04/09,415163,JOR
13/04/10,418008,JOR
13/04/11,421547,JOR
13/04/14,424771,JOR
13/04/15,432263,JOR
13/04/16,436883,JOR
13/04/17,440235,JOR
13/04/18,456261,JOR
13/04/21,462662,JOR
13/04/22,467213,JOR
13/04/23,469725,JOR
13/04/24,471146,JOR
13/04/25,473827,JOR
13/05/09,431799,JOR
13/05/13,458272,JOR
13/05/14,452929,JOR
13/05/15,468999,JOR
13/05/16,470909,JOR
13/05/19,471368,JOR
13/05/21,480174,JOR
13/05/22,482878,JOR
13/05/23,488819,JOR
13/05/27,483592,JOR
13/05/28,485023,JOR
13/05/29,487308,JOR
13/05/30,489221,JOR
13/06/03,468160,JOR
13/06/04,470573,JOR
13/06/05,472631,JOR
13/06/10,474669,JOR
13/06/11,471188,JOR
13/06/12,477455,JOR
13/06/13,479429,JOR
13/06/16,472292,JOR
13/06/17,473784,JOR
13/06/18,475761,JOR
13/06/19,478007,JOR
13/06/20,480254,JOR
13/06/23,486175,JOR
13/06/24,487543,JOR
13/06/25,489651,JOR
13/06/26,491780,JOR
13/06/27,494021,JOR
13/06/30,491365,JOR
13/07/01,490880,JOR
13/07/02,495127,JOR
13/07/03,496913,JOR
13/07/04,498877,JOR
13/07/07,501668,JOR
13/07/08,498529,JOR
13/07/09,498947,JOR
13/07/10,501330,JOR
13/07/11,487916,JOR
13/07/14,495431,JOR
13/07/15,486972,JOR
13/07/17,500579,JOR
13/07/18,501057,JOR
13/07/22,502196,JOR
13/07/24,505347,JOR
13/07/25,506505,JOR
13/07/29,507988,JOR
13/07/30,511326,JOR
13/07/31,512998,JOR
13/08/01,514803,JOR
13/08/05,517683,JOR
13/08/06,517139,JOR
13/08/07,520470,JOR
13/08/12,521226,JOR
13/08/13,515225,JOR
13/08/14,516449,JOR
13/08/18,510820,JOR
13/08/20,516990,JOR
13/08/21,518280,JOR
13/08/22,523059,JOR
13/08/26,517168,JOR
13/08/27,520287,JOR
13/08/28,515512,JOR
13/08/29,515842,JOR
13/09/01,515012,JOR
13/09/02,519676,JOR
13/09/18,531768,JOR
13/09/19,531908,JOR
13/09/22,522588,JOR
13/09/23,523607,JOR
13/09/24,525264,JOR
13/09/25,525231,JOR
13/10/03,534418,JOR
13/10/06,536405,JOR
13/10/08,538747,JOR
13/10/09,539891,JOR
13/10/10,540656,JOR
13/10/14,543199,JOR
13/10/17,544392,JOR
13/10/22,547274,JOR
13/10/23,549092,JOR
13/10/24,549575,JOR
13/10/28,552061,JOR
13/10/29,552048,JOR
13/10/30,541025,JOR
13/11/03,543183,JOR
13/11/05,544374,JOR
13/11/11,548780,JOR
13/11/12,549617,JOR
13/11/14,550385,JOR
13/11/17,551644,JOR
13/11/18,552460,JOR
13/11/19,553311,JOR
13/11/26,557657,JOR
13/11/27,559356,JOR
13/11/28,560059,JOR
13/12/03,563008,JOR
13/12/04,563263,JOR
13/12/05,563706,JOR
13/12/09,566303,JOR
13/12/10,567111,JOR
13/12/18,568501,JOR
13/12/19,569003,JOR
13/12/31,576354,JOR
14/01/15,582166,JOR
14/01/20,589045,JOR
14/01/23,590749,JOR
14/01/26,591862,JOR
14/01/27,592623,JOR
14/01/28,592864,JOR
14/01/29,593186,JOR
14/02/02,593693,JOR
14/02/04,591922,JOR
14/02/06,596800,JOR
14/02/09,597937,JOR
14/02/10,598690,JOR
14/02/13,571457,JOR
14/02/18,573425,JOR
14/02/20,574410,JOR
14/02/23,576428,JOR
14/02/25,577786,JOR
14/03/05,581535,JOR
14/03/06,582080,JOR
14/03/09,584406,JOR
14/03/10,584600,JOR
14/03/23,587308,JOR
14/03/30,588979,JOR
14/04/06,588980,JOR
14/04/07,590515,JOR
14/04/10,589792,JOR
14/04/29,595369,JOR
14/04/30,594258,JOR
14/05/04,593346,JOR
14/05/20,596062,JOR
14/05/30,599458,JOR
14/06/01,599408,JOR
14/06/04,594381,JOR
14/06/05,595082,JOR
14/06/08,597328,JOR
14/06/26,599461,JOR
14/07/01,604868,JOR
14/07/03,605270,JOR
14/07/07,605526,JOR
14/07/08,605660,JOR
14/07/09,605719,JOR
14/07/15,606653,JOR
14/07/16,606716,JOR
14/07/20,606993,JOR
14/07/21,607193,JOR
14/07/23,607443,JOR
14/07/24,607500,JOR
14/07/27,607878,JOR
14/07/30,608373,JOR
14/07/31,608534,JOR
14/08/03,608889,JOR
14/08/07,609376,JOR
14/08/11,609692,JOR
14/08/21,611685,JOR
14/08/26,612737,JOR
14/08/28,613252,JOR
14/09/03,614819,JOR
14/09/07,615546,JOR
14/09/09,615792,JOR
14/09/18,618086,JOR
14/09/29,619163,JOR
14/10/08,619306,JOR
14/10/09,619376,JOR
14/10/28,618508,JOR
14/11/11,618420,JOR
14/11/20,618615,JOR
14/12/07,620441,JOR
14/12/29,623001,JOR
14/12/30,622865,JOR
15/01/04,623338,JOR
15/01/05,622672,JOR
15/01/06,622682,JOR
15/01/07,622384,JOR
15/01/13,622397,JOR
15/01/14,622324,JOR
15/01/15,622287,JOR
15/01/18,622405,JOR
15/01/19,622380,JOR
